10000000 89749
2419553 7523342 149142
2135711 6859576 895743
4449591 6452336 349493
820718 6834776 873639
3805275 4178632 36263
7036710 7040576 557477
186421 5195211 857325
2248982 2911638 344063
2504791 4611825 325693
3852554 7042246 954226
1015534 4711329 183775
1139142 4649386 549715
2469710 6217976 340980
2818409 3094193 145091
2304706 5288795 532418
596241 1962362 614526
4628513 7579908 342405
2201376 2744772 883823
2400257 3423295 73692
4063923 7286571 429567
662307 1369887 234670
2893679 6348977 776629
877602 5473784 986951
2938729 4747630 672020
6401310 7898607 740548
2594621 5529202 66522
877157 7207809 574204
2034738 7626380 406549
1061841 3054020 953554
972958 4962849 477698
2918642 8099654 587199
4818564 7289988 395511
4110009 5593103 317040
645818 4491787 642787
2662362 6664184 972316
1731771 6017733 411225
3584559 3917689 310481
1109406 6812677 822656
2460160 8752143 466255
745971 1058687 967095
1335592 1364754 158976
2104474 6300299 215509
8221650 8330618 541106
3903224 4709917 185362
8197390 8224857 831335
1011607 6362531 188604
4101036 6503905 953732
102797 8094830 717460
3125877 7410920 512630
3490879 5053366 977855
2721733 4408881 583747
1302146 2132150 21142
662141 8763952 737049
2539335 5272578 319070
4791469 6099360 943807
5290085 7601130 647829
4122557 8531244 555361
1717972 3348524 434066
4392797 5665546 86590
5934196 8096503 398795
2288079 2454106 175965
375999 5939912 744046
2381618 6068766 845600
529327 6690116 517337
2733314 8111726 245218
7220590 8046326 8049
699224 2648488 656200
2528056 5811403 166596
42864 1890274 583887
5880403 7994408 278830
5717273 6984367 274758
2150063 7222870 951752
4606728 7266923 238843
2938014 5892947 152086
7335842 8549348 829136
2456773 3805230 591020
7812796 8170230 366699
5565497 6966938 720063
2056535 3961987 170009
2501181 3464680 783975
2222889 7149987 2241
4793098 5554440 655971
1181679 2133595 372651
1244871 3562624 544961
1374039 2515849 740978
6794272 7326592 156827
2529732 4483894 464114
950641 1714680 912381
2486548 4199925 571833
5447538 5696280 290851
2143338 8628759 195758
680962 3100978 349084
1690860 3823355 996108
2063671 5316296 343149
8285295 8516652 530965
6123998 7630245 265205
4453429 7587608 718751
1135052 7557871 470547
3311698 5322651 640754
3085721 4553375 676559
869280 7840749 651493
3055569 7850500 373941
7137992 8679071 405251
603165 1316725 53852
687263 4175486 605626
6657536 7776647 279639
2955504 6812326 169464
440535 4191939 575798
157126 8087633 347548
6160694 7089997 307096
4960795 7072332 703240
669108 3541458 16696
5548989 5943823 900019
4835623 5454559 29430
4499303 7658263 239595
2835861 4589978 948666
536148 6447911 449148
2841303 4527332 485450
2317279 7710565 18951
3746013 5187379 65840
2174587 6337820 936192
2119868 2496003 484626
6457447 6915622 549351
6950231 8246197 498043
1783081 5598122 296130
4975740 6740122 948676
3473260 5985569 320476
4710607 6817201 859314
4596524 5449725 652130
3198272 5677506 546369
4282376 7774572 582183
66740 5187181 872466
1822783 3673061 34759
4075221 5981393 43955
5594847 8452666 82014
2991545 7811128 757044
121699 6117176 351314
3141137 7774120 341621
338626 512679 525736
2046774 5211227 310253
2457387 6292075 576641
3682298 4296497 634193
1881485 3790824 428136
367158 8018240 852028
3165330 7870927 111883
5679826 8536826 524280
4862585 7753444 606402
2659534 3250775 111266
7081733 7395551 138183
725343 6363546 71957
1547761 1737046 321097
1278033 2335921 102606
788793 4510590 323141
1626003 7026380 92214
548098 5745890 826379
374679 7637897 574143
3008010 6148590 431939
966847 7054918 46936
1271010 7550729 994003
3670171 7471608 211162
1412606 5069032 24363
1926049 4144404 882873
366570 4013709 861579
559574 1231617 756337
1338243 2649058 307333
1125009 7853097 911960
2011608 2167747 701347
93655 1408359 71136
1814910 8675837 82804
1912655 6957917 345951
1477042 5647657 514810
4709770 7171351 774411
1632276 7620014 205463
3402617 6016120 406342
601964 3635470 973927
888965 1937893 548590
4130274 5651240 83307
3686740 8210823 362610
2086 7176154 635342
6297485 8162767 819566
2995390 6319393 575671
2570475 2931693 357037
5110184 8198382 88431
1422120 2159233 383058
2529523 6989446 39918
6702930 7110417 543710
5464830 7782911 989904
1564921 6100282 268568
6825086 7802475 141837
1842442 2527076 804326
3072701 7409707 797145
1416015 3230446 29488
1575351 6857355 245833
4487908 5751043 634972
5347836 6951841 601581
3536751 5035827 603180
2378622 2839950 17898
195418 5375725 344348
3293898 3540958 58622
3956797 5220377 530338
1518158 7878647 859121
1915061 5762497 751371
1027243 2664746 467394
2310039 3322258 48448
2843005 4895453 241636
3192417 7184758 402629
6364832 8696114 244690
1619273 8045727 730251
3694257 5626650 180345
6419278 6984376 419596
5571200 8438716 317730
256504 1364794 867376
794633 7226696 190516
259688 6871541 596009
2246313 4363218 285452
3150952 6703259 542760
51148 6074769 417272
5428979 7418931 813547
111579 6292389 117590
5892113 6918698 77765
2764802 6567053 487877
2545310 2936578 616629
4429139 5722185 517263
2475496 8313105 657791
5208005 8302948 465225
3404461 5399084 21569
1986108 5176598 17147
4944424 8550851 213958
1012941 2591972 767894
1544779 2150931 190688
3466526 4789489 315205
504000 3455584 266576
354373 7650807 621922
1419741 2480669 485789
5045855 5976437 674095
2143773 5778785 179174
3417152 4364723 825165
2487879 8181112 455064
4904443 6547152 415873
670117 4780076 306132
259583 1564276 905524
1859124 8150833 537545
63537 3885923 508804
5770511 5803693 566263
643122 6100194 518006
4414658 6273544 708977
791508 1180358 588526
4146443 8501586 791375
5780370 6238035 501040
692150 5596211 513698
378052 6916681 853210
3898355 3933309 627945
5351456 6876682 121392
2073175 3029777 461224
3754020 4944986 443354
2213108 5780045 229521
1211900 2331894 719722
1759577 6261986 662933
6400004 7937911 387954
7794018 8242349 810148
5612951 8819860 542873
5642145 7446451 600344
1275764 3080891 619084
4610400 6309713 950396
5287530 8250528 859143
4135700 5619005 528939
170267 6805711 364983
1699863 2442732 785324
2560531 6138471 706311
217837 5068051 818937
3451689 5963863 124989
1441069 6095940 96038
2686151 7107124 570176
1390058 2596851 617499
2410312 8821606 815854
5590993 8018896 60192
7250034 8143861 352976
2855631 6262381 187470
2435454 5116276 446753
2644433 7098356 941010
1727186 4202814 320577
1783326 6812758 738732
1327344 7721639 820854
1465400 8185929 53224
2282986 4299447 607722
1716979 5727515 28147
5939509 6732240 742273
2015807 8431851 554519
7032639 7797023 108717
3399940 7341094 220067
4204815 6221010 186202
4801809 6044269 618222
4786240 8853146 404197
3816153 7879060 40722
951082 1742538 670483
1794214 7106758 408520
3956231 7947014 857685
5746842 8531851 820373
4060712 6836774 488938
2132718 2215986 379983
2823098 4593122 277266
636280 5825605 742633
2276910 3049048 787030
146618 6570267 347537
517498 4943640 161891
3112756 6115176 234327
3346373 4300828 989921
4416107 5198586 227853
5368804 7808988 540022
5730099 6949277 128635
2641914 3619605 730871
5988645 6411957 919946
3246917 6558809 843397
3822347 6999510 858729
1669354 3876692 280900
421457 8794051 972286
2117604 3759845 263473
852658 8046296 423811
4977204 6036877 397896
7413729 8604617 6026
131332 1913908 972512
1886870 8321107 262988
5095697 7085895 549699
2665403 5394473 372688
5653530 7519471 390636
3727054 4466461 527978
1450870 1897204 871507
1458726 7792076 170120
6142011 7192803 482569
642129 6302129 572851
5397754 7024960 658810
1740821 4772350 92918
4992008 8565961 395778
1194211 2743442 101151
6531953 6978170 925841
6617362 7280160 901912
3512983 8069030 458583
5928829 8683952 827635
202328 5508221 99864
4633488 6109972 577236
5038418 7381634 864377
3709375 4657156 760042
670384 5368629 945602
2131810 8459288 846733
7286192 8046394 700879
2046304 5503406 546369
2565186 6996477 770206
8247102 8593258 365762
414252 3338435 179629
244812 6676079 712058
4332401 5076597 302304
549819 5446308 387646
3536211 8250521 829824
1271111 6346203 401833
157118 8070445 325261
3304420 3662693 842192
866280 1372550 669721
3849018 6682794 437224
4001935 7792619 616618
1319192 3842680 882364
2262592 8459933 257163
3480888 6942433 65310
1739551 7575877 459636
24825 7344543 424267
2849090 3920851 282543
943863 2509481 973496
1097962 4396931 270068
4028117 7631872 450517
2276095 4138992 49787
449774 4788171 881107
713968 1443602 321382
793084 5564325 365599
2143566 8228529 99131
5218921 5448714 891213
7415793 8176523 237343
6254989 7580222 934669
3542367 5217500 36141
3124165 7397248 747099
3283717 5364007 601976
5562575 5962664 526930
5032182 7682245 735957
1481333 6269208 281865
26931 7003093 169606
144552 7704780 204533
5860759 7885139 162232
4850972 7252774 381638
2635355 6539437 700332
810595 3529724 200020
1419999 7221649 678463
3923336 4923527 547140
2850333 7497548 799427
996221 3978221 995284
1628540 5599104 541367
892175 8810413 83701
655596 7969513 923329
6003963 8374771 69105
3900728 4682185 648577
4006258 6311436 718583
6981816 8947396 737242
11142 1500418 47416
3859973 6461184 901999
611844 4602483 352418
6723428 7106378 995811
3043398 3175159 593810
446107 5141137 193583
979956 6059223 542997
2207005 3802974 873853
4115462 5367603 92026
1773006 5740861 19044
5026985 7267022 984309
7680169 8835044 466071
6578778 7738579 92747
3199621 7347875 663371
1249483 5223507 937731
3406663 5360039 181590
5660812 6282591 449934
2340988 2942836 98468
2661382 3589966 248472
1122910 6350668 428344
2246294 6727072 750007
2370910 7863219 320366
2023562 7279421 786607
119067 1290691 602152
2466698 7715958 507542
888229 4688878 499798
1392042 6065308 452515
121389 2910297 11650
1051466 7533526 718937
956283 3962283 282250
552494 7366196 52892
5510388 6224288 964742
980143 3002868 334498
8755897 8829379 568139
124341 6480984 94764
5703303 6859603 96021
878128 972951 165981
5097549 5660654 791621
370294 7761527 938947
4977672 5136510 80978
829853 882916 466542
436472 6960032 371602
1364262 4155763 559726
2600596 2930325 147718
463983 5253895 655431
695665 8351369 422024
1228682 1808021 829728
2910051 6889039 308583
4350701 7967747 722547
5416048 6804662 149615
3159090 3291505 159670
704134 3181665 42587
1575473 5541180 323667
6706099 7920468 459563
3306562 7408140 671178
1068817 1915027 290577
3531535 7926529 889292
5166272 8218030 566657
3643248 7312610 875656
4907639 8726404 244394
3511472 4488193 464700
5133811 5554532 496352
1625705 7717862 86620
2287104 7653472 834148
1004963 7387541 686504
3672944 8415825 555282
925758 2340305 431988
3451497 6189133 939323
479501 571724 200620
4074 891000 124541
617033 5300118 308579
4282100 4523205 248080
3607516 6610548 631447
6400885 7507059 154532
2040845 4507391 646419
3235463 5648027 230618
627983 2485834 776001
5451683 6541044 489009
1417326 2830006 103508
308130 722829 862700
62031 1633391 135473
5345995 8134780 372639
4276683 4947955 203721
2068056 3594688 462888
5493516 6023768 717099
7076200 7733923 648186
2572654 8193214 782219
441230 6175655 245226
1766283 3191463 256518
3047759 5561831 730664
7580156 7642253 977042
309798 3598316 286250
1571213 6044275 806091
337384 4181451 75478
47384 7479953 259539
3929438 4277628 913547
4204879 6009864 665634
5567414 6878593 885242
2834939 5354094 252158
779185 7791053 283212
7822187 8918957 701685
1397583 6777730 63618
2496010 8218321 666924
1556169 2995033 268283
1248995 6213950 507103
67186 7112388 38743
1252782 5534349 290474
948041 3471543 23579
6567658 7361836 217720
439935 5918277 196296
150429 3329025 68196
1937380 4418155 127290
3572102 6281027 181007
768992 5939565 850166
1296189 6751973 77464
31662 5081238 788437
3615889 4331031 675634
5871402 7587785 111078
2874022 7378432 841459
950735 3063524 472240
1285504 7945504 33997
1131881 6944468 636803
753939 5945697 546164
5364773 8179440 633826
4250745 7779754 614030
2661603 5757960 617919
979726 4784694 478291
3825395 6624619 287631
1805998 5035544 891637
5332984 8923591 708548
3100225 7457316 469564
2305447 2350247 244190
750033 5974695 228711
1959957 6393933 172374
623880 4271313 50421
3426381 5362489 160076
367263 5066830 247909
1274126 2597140 958651
250948 1568603 25895
6740391 7794138 240985
1459606 3362745 601198
2595058 7868537 256062
2275626 6462770 941144
7092559 7694097 177852
1344009 3396774 838405
2006267 3349817 773735
2626361 4488521 260483
2199907 2238397 177745
2153489 2793483 557949
4725063 8114329 320244
3550801 4732503 72409
4524337 6286440 366734
597175 5684827 988377
1939536 6996280 166139
964188 2908163 848948
8669023 8791468 316456
4958947 5903952 748168
2264925 7049895 319591
7339306 7493705 797649
3764704 4497509 653005
2729262 3295293 129769
2447355 6196525 36386
6878591 8788966 996535
3008733 5924498 641262
72026 6845848 993799
2155844 7613255 967096
3753947 4761411 220148
5575741 7294033 215832
2674142 7536081 725465
2079660 2568878 438151
1120043 6157027 811718
934254 7187192 687883
4435845 5238933 779552
621077 1350552 445464
221474 1738000 10119
5096954 6326789 854940
4171728 6465355 981524
5968257 8669138 828225
3260610 3345467 254765
2764885 6561355 271356
439857 790686 588579
166598 1646691 932742
2131152 5807510 445682
2129236 3528358 213281
750378 3883913 849243
5171809 8669527 17910
260772 2664906 61827
1962770 8589254 118603
3022081 4428579 343116
2398961 6603247 630964
3829422 8454653 730398
727594 6800075 226352
778853 3221996 412080
5864377 8406192 940036
1198031 5921657 236448
774231 2983497 711014
4990308 8096186 496611
3533538 8342630 235460
2658580 7004069 803476
331119 3598556 805901
3982419 7011353 779005
2654721 4781374 418973
1324055 3750481 526927
4724325 5075242 856216
6294069 6720315 261896
2163929 4987602 692436
2593616 8209556 455593
882129 6511416 919121
2115844 5374330 823602
2176527 5130077 116870
3074990 7046514 348337
2053949 7856750 440348
155420 2559783 293007
1046029 5266481 102489
1374381 4535995 300236
3375995 7245833 123603
2042516 7593524 594045
3237573 4381576 940394
2202257 4105572 680626
1007353 5038202 433756
3835535 7375624 276272
1140769 1798892 354346
4381095 4552161 526708
5274889 5628421 204824
4693617 7581524 633440
7144 5831761 709465
3108198 4773012 147564
716894 3364374 439318
108699 4421513 172200
3504685 4651635 658926
926107 3061511 841145
1523245 5194684 383989
5359161 6049262 58680
1498446 4397023 131882
3758955 4244539 393132
3927190 7003066 796803
213277 3917571 478969
1498816 5632330 691474
1313191 5550155 822144
4951315 5725968 20396
1126116 7283616 902932
6847404 6904793 837539
880415 2474028 542502
3463214 6895385 272871
3503329 5200394 865500
3902321 5428343 110953
4280452 8254193 467496
969787 5384765 403569
1432701 6465278 899695
2561527 2734101 19091
2082090 5739963 415626
2872642 8276562 228470
5543204 7221551 700021
854241 8178063 96582
5862525 6854320 545940
3816514 7146960 484099
1143794 4090386 576061
5087116 7518917 412420
839307 1723822 501320
5017788 5947542 587927
4497480 8009039 811682
4272333 5454332 864697
357967 3949869 768646
5811828 7620929 309394
1783596 3284092 13565
1847413 4822648 814835
1492480 3884409 492711
4253211 7131268 747134
340457 4375758 615446
5081961 5224309 201019
3504312 4944895 632907
4219165 4821695 763441
947310 1066015 386949
5276941 7757399 481606
1978336 3575352 222112
653677 2711305 752969
2273580 4075803 976219
5335382 5443859 668426
8369529 8374331 414683
7087732 7670861 997646
868933 1346954 872104
7117884 7674702 705154
5462316 8036186 898759
5292669 6926184 637251
3969032 6522880 625119
5041418 5075474 838662
1612983 5093971 453494
1995788 4582763 776625
378773 3383773 498126
4096679 7302105 38808
91984 6889105 388900
887454 2376733 689114
4843495 5361235 757584
686271 3967999 485346
5147591 5963632 229159
1987357 2074486 121941
4187891 6308724 412109
2915003 3441323 620677
1407908 3241921 185009
5834689 8093187 67050
22873 7461706 543910
3713814 7250248 556983
2385655 4733635 935394
815994 3984457 89482
2464958 7815613 261559
5555530 7729848 53892
918337 2038489 685924
3709738 7565452 667515
5122240 6252595 683469
1159570 4393607 697384
4624254 7995334 145814
2020241 6949196 42371
6866018 7050715 115494
1656877 5518144 152411
1396127 8146743 370642
206665 8072172 899727
2593888 4597038 833924
2857072 5841199 716621
3187875 7244588 345876
1588130 2259939 352545
5363822 6007115 237903
2971281 4242647 735206
751705 5726064 613548
2249182 2944685 71833
1909735 3025062 361678
5420691 7062095 390072
1828538 5515584 678596
2611719 6666539 57300
3100775 6592927 115821
1346670 4313358 580424
3098036 4242849 164703
2854433 5872109 985362
3371232 7653826 495698
2105955 5960642 963363
6056046 7316962 120131
1726347 3431827 728347
803408 1892526 753977
540080 3187810 481669
276727 8351449 221653
6549243 8096518 442102
2843306 3596982 408226
2634924 6589435 898083
2425372 5821431 277776
3342767 8048876 421205
772267 2802219 67057
4921465 6186266 878791
6959777 7266277 406687
1205920 7925121 704700
4947702 7598098 959220
4773460 5264965 983916
8073582 8607437 4472
5962252 6864323 411167
4916797 5578995 8293
1666550 2152507 765749
4851333 6290898 855413
450376 4937226 840470
1751793 2792286 755815
3505601 6304574 132171
140859 1005448 369702
2813200 3525968 163993
3286416 5977285 84516
7589912 7816403 570345
579800 4728347 871132
982816 1787363 790147
3190822 5168385 385366
1045420 8097463 988689
4017913 7450111 735885
4935288 5242859 383130
5274316 7235703 967564
2216728 7891023 546192
799577 7237533 435525
371243 7233858 157244
2568486 6102159 609985
2293578 7545111 257113
1681273 1868071 18073
2595381 3989940 926595
3046447 5804835 122904
5371277 7585947 840663
1590266 7337113 481393
7508101 8129460 518511
4702249 4760034 71514
2086150 7154452 786190
1183687 6512241 865087
1964421 3972510 306709
5082814 6325477 814467
3057662 6672752 728441
7091594 8309676 808577
7394892 7791029 702453
2203355 7612642 856439
1275680 5168372 86230
1803261 5191127 742599
1642145 4644016 482993
1332112 6405615 556149
873075 5448142 678372
3332480 6217253 816085
473561 522198 227128
256178 3863388 980622
46114 7865652 188635
3591182 4259490 732998
1587559 6499819 886767
2176533 7966014 320473
5005440 5303843 652126
2232050 8227894 108403
3681659 8211101 145361
3343692 5185462 346679
812906 1503198 462463
2096663 7163780 663263
2758027 7408370 789494
1981337 5403845 815104
1362651 1460439 543045
3877277 4346197 404772
5961232 8481629 662207
3171988 6507182 756244
250942 8284325 957107
591309 5081499 912126
1950351 3765022 493665
4888178 5678361 721674
1810363 8701539 173368
3732525 7078033 150855
3068420 4362099 365175
46718 3123027 502280
2690810 4706528 385748
2394180 5830358 744698
5597437 6726388 795909
1122182 4587844 199898
3077946 8190069 200263
3902302 6260998 110339
801325 8219632 142411
1769966 6977330 259084
2493963 5738997 586897
2331910 8223062 853387
3753898 5880107 82984
5157945 6485307 656125
2844294 6259033 471667
1211430 5499433 838330
1332313 5456840 578240
322581 8458396 546957
1047854 2998740 228834
3326072 6042396 845399
1591172 7811032 185706
159769 2491307 780900
1695883 2640638 794106
6319799 6984580 739431
4158858 6424535 337482
6651562 8230446 535577
6087804 7393375 218672
870795 2061817 520857
2472091 6557113 336115
2486838 8224988 578116
873363 5413618 472375
334686 7537757 791125
1229999 3760311 255787
2296195 4072715 237625
263436 2529842 470378
1064940 8084487 164178
6449886 6879794 279300
14389 4291077 447981
1346544 2636508 58701
924755 7418473 347836
3658284 7296360 218681
4067516 4802422 784697
4306413 5710098 63786
4021046 8977618 491888
4140741 7473932 92121
6792205 8026771 441600
6727621 7704046 467621
295194 1412189 471553
4755614 6921917 520606
4719546 5396076 468393
1481863 4927326 929065
3835896 7487059 672974
1417055 4214935 234459
6643839 7378657 343406
4401279 4859650 123219
5277729 5810975 324636
656961 922025 378704
3773255 5001106 683717
525141 4124947 258197
2498436 7676390 471825
1533779 5796982 215567
1642521 6843824 322560
898755 1979431 801680
3754733 7148407 746390
2774783 4665890 542025
2922603 5649405 196738
1146145 7226251 296534
1611912 2149448 74373
3430732 5925571 794419
3030529 3291621 825974
4185865 5160431 972976
5194319 7131703 39263
1078010 4478824 863948
485960 5273886 549549
2066076 5809006 277138
1118978 1466981 950749
1301879 1865559 253325
4977950 5268664 783520
927922 7339043 697310
4812701 8012865 379972
2717520 3291119 646086
2855072 4846441 249455
1569384 5792466 656539
564812 5513764 444153
2435925 7760090 217194
7047351 7670300 843493
336260 5649586 547903
2057242 5806912 939906
2542432 4632300 929350
7666349 8711079 374305
5839497 7523230 631579
1307322 4905282 976020
3775966 7173062 469759
895839 2495724 764840
7193920 7400198 802404
4216519 7947735 578140
1100520 7248383 651016
3917690 4681303 686494
158195 4520141 445385
2042914 5612535 270168
2581947 6380384 228263
795265 3330914 880670
2229026 5063420 786347
6872197 8787178 678194
1264796 6758936 779554
1160779 5812431 388857
1937028 2865150 697073
3783681 5282775 413469
2561695 7530238 516753
1304605 6021704 836892
1171330 4193417 493317
947928 4627655 295678
2640964 3074657 835694
3547181 7249739 602956
239553 5031731 838213
4975796 5554242 872637
1458965 7323524 186164
8269902 8475699 561232
39939 4234471 711979
1196913 2083057 985230
2008970 4075319 199377
4489617 6322680 680450
473886 1720704 262014
4207639 5743796 478113
5740702 6456640 902163
6526169 6575482 501183
3683379 4875033 387956
5772829 5869933 110397
6900189 7428187 240250
4366261 6859374 423104
4632015 6511457 778783
751196 8736530 390975
1838737 7250870 692084
755969 5049957 397518
760996 2856849 123591
1903431 5141521 615648
2377820 7742291 289932
1119329 2827215 974455
4773348 5417069 417312
3093057 6788757 595957
65349 7067342 898778
572280 8140164 916749
5862794 6773193 205396
2746810 4811347 830432
3963 4386617 330540
1741848 3140274 345047
3890844 6304333 980857
4147525 5632403 645066
1419576 6533254 165874
596316 8161951 88320
2457119 5099256 268244
2111532 6087155 766223
1781392 6209496 358331
3392267 7135617 332793
767149 2058450 555622
2188424 4231177 19099
2518192 5778650 208143
7059044 7643488 778127
5070173 8088010 679475
5072721 7872828 905974
3421799 4164393 457910
3049027 6598627 916295
1600920 4872471 553408
4023044 6720294 157802
784483 3585592 996975
5535412 7498614 206240
94884 2609771 600479
2485985 2651127 568297
164950 653951 394811
1134078 4758460 444341
402518 6481665 310067
1646431 6456013 673744
5500325 6270954 403790
4285123 5346916 54495
73890 4105884 209764
5100546 7779997 432385
5056307 7009376 548725
4638968 8326515 216376
1822001 6005498 433177
5600500 6548404 563195
5710785 5944592 915372
3019615 3834292 714041
3801054 4303602 148183
57734 7492680 510444
5713406 8116555 158835
1522936 6631736 536145
1210275 1440405 549654
5224144 7323076 942576
2912049 6400012 967726
1029113 6515991 793791
1885460 3787918 889610
1765565 6849925 19997
163978 753104 628102
1708047 8081858 739986
6262433 6365074 73610
230001 5286842 931818
2111313 3144639 300882
2733692 5452629 324938
551876 3526090 433585
3474215 3708347 666326
1138714 5077558 356106
1311549 3852033 383450
1268078 3642925 608305
1622370 4371909 199456
2370733 5118041 685164
1551519 4345984 724713
3846795 5640100 145607
1376701 2977112 335879
5056278 6342645 349006
3964916 6206430 18138
1859165 5722666 634823
2693028 8257766 629029
273303 7268223 221420
1888629 4710266 470354
6983344 6990679 182891
496754 2223844 561648
4587955 4614536 289903
1282021 6440738 464635
426754 6398643 978398
5862566 6654131 992321
